Entity,Code,Year,Mathematics,Science,Reading
Albania,ALB,2000,,,348.84952
Albania,ALB,2009,377.46106,390.69574,384.8166
Albania,ALB,2012,394.32935,397.3732,393.96426
Albania,ALB,2015,413.157,427.22498,405.25876
Albania,ALB,2018,437.222,416.72626,405.42935
Albania,ALB,2022,368.2217,375.96774,358.43475
Algeria,DZA,2015,359.60623,375.74512,349.85925
Argentina,ARG,2000,,,418.2507
Argentina,ARG,2006,381.2539,391.2439,373.7238
Argentina,ARG,2009,388.0681,400.83853,398.2609
Argentina,ARG,2012,388.4317,405.63202,395.97913
Argentina,ARG,2015,409.03333,432.22626,425.30313
Argentina,ARG,2018,379.45383,404.07144,401.5031
Argentina,ARG,2022,377.52902,406.19135,400.74405
Australia,AUS,2000,,,528.2785
Australia,AUS,2003,524.266,,525.427
Australia,AUS,2006,519.9078,526.8796,512.8933
Australia,AUS,2009,514.34045,527.2705,514.90063
Australia,AUS,2012,504.15076,521.49475,511.804
Australia,AUS,2015,493.89624,509.99387,502.90057
Australia,AUS,2018,491.36002,502.96457,502.6317
Australia,AUS,2022,487.08426,507.00085,498.05093
Austria,AUT,2000,,,492.056
Austria,AUT,2003,505.611,,490.69324
Austria,AUT,2006,505.4836,510.83716,490.19397
Austria,AUT,2009,495.90866,494.32767,470.28363
Austria,AUT,2012,505.54074,505.78125,489.60934
Austria,AUT,2015,496.74228,495.03748,484.8656
Austria,AUT,2018,498.94232,489.78043,484.39258
Austria,AUT,2022,487.2675,491.27097,480.40585
Belarus,BLR,2018,471.86514,471.26367,473.78845
Belgium,BEL,2000,,,507.1259
Belgium,BEL,2003,529.28644,,506.98734
Belgium,BEL,2006,520.349,510.3635,500.9006
Belgium,BEL,2009,515.2723,506.57553,505.9458
Belgium,BEL,2012,514.52924,504.86765,508.6179
Belgium,BEL,2015,506.98438,501.99973,498.5242
Belgium,BEL,2018,508.0703,498.77313,492.86444
Belgium,BEL,2022,489.48682,490.57834,478.85266
Bosnia and Herzegovina,BIH,2018,406.3844,398.49765,402.9778
