country,year,adaptation_and_nature_solutions,climate_science_and_phenomena,energy_and_technology,extreme_weather_and_impacts,greenhouse_gases_and_emissions,policy_agreements_and_economics,total_sentences,climate_sentences_BERT,climate_sentence_ratio_BERT
AFG,1952,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0.0
AFG,1957,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0.0
AFG,1958,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0.0
AFG,1959,0.0,0.0,0.0,0.0,0.0,0.0,95,0,0.0
AFG,1960,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0.0
AFG,1961,0.0,0.0,0.0,0.0,0.0,0.0,40,1,0.025
AFG,1962,0.0,0.0,0.0,0.0,0.0,0.0,62,0,0.0
AFG,1963,0.0,0.0,0.0,0.0,0.0,0.0,66,0,0.0
AFG,1964,0.0,0.0,0.0,0.0,0.0,0.0,67,0,0.0
AFG,1965,0.0,0.0,0.0,0.0,0.0,0.0,171,2,0.011695906432748537
AFG,1966,0.0,0.0,0.0,0.0,0.0,0.0,139,3,0.02158273381294964
AFG,1968,0.0,0.0,0.0,0.0,0.0,0.0,175,4,0.022857142857142857
AFG,1969,0.0,0.0,0.0,0.0,0.0,0.0,129,1,0.007751937984496124
AFG,1971,0.0,0.0,0.0,0.0,0.0,0.0,91,0,0.0
AFG,1972,0.0,0.0,0.0,0.0,0.0,0.0,70,2,0.02857142857142857
AFG,1973,0.0,0.0,0.0,0.0,0.0,0.0,80,1,0.0125
AFG,1974,0.0,0.0,0.0,0.0,0.0,0.0,83,1,0.012048192771084338
AFG,1975,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0.0
AFG,1976,0.0,0.0,0.0,0.0,0.0,0.0,49,0,0.0
AFG,1977,0.0,0.0,0.0,0.0,0.0,0.0,40,1,0.025
AFG,1978,0.0,0.0,0.0,0.0,0.0,0.0,56,1,0.017857142857142856
AFG,1979,0.0,0.0,0.0,0.0,0.0,0.0,65,0,0.0
AFG,1980,0.0,0.0,0.0,0.0,0.0,0.0,97,1,0.010309278350515464
AFG,1981,0.0,0.0,0.0,0.0,0.0,0.0,115,2,0.017391304347826087
AFG,1982,0.0,0.0,0.0,0.0,0.0,0.0,72,3,0.041666666666666664
AFG,1983,0.0,0.0,1.0,0.0,0.0,0.0,58,0,0.0
AFG,1984,0.0,0.0,1.0,0.0,0.0,0.0,82,1,0.012195121951219513
AFG,1985,0.0,0.0,0.0,0.0,0.0,0.0,76,1,0.013157894736842105
AFG,1986,0.0,0.0,0.0,0.0,0.0,0.0,42,2,0.047619047619047616
AFG,1987,0.0,0.0,0.0,0.0,0.0,0.0,67,1,0.014925373134328358
AFG,1988,0.0,0.0,0.0,0.0,0.0,0.0,96,4,0.041666666666666664
AFG,1989,0.0,0.0,0.0,0.0,0.0,0.0,99,4,0.04040404040404041
AFG,1990,0.0,0.0,0.0,0.0,0.0,0.0,119,2,0.01680672268907563
AFG,1991,0.0,0.0,0.0,0.0,0.0,0.0,113,0,0.0
AFG,1992,0.0,0.0,0.0,0.0,0.0,0.0,70,6,0.08571428571428572
AFG,1993,0.0,0.0,0.0,0.0,0.0,0.0,95,7,0.07368421052631578
AFG,1994,0.0,0.0,0.0,0.0,0.0,0.0,97,1,0.010309278350515464
AFG,1995,0.0,0.0,0.0,0.0,0.0,0.0,122,2,0.01639344262295082
AFG,1996,0.0,0.0,0.0,0.0,0.0,0.0,86,1,0.011627906976744186
AFG,1997,0.0,0.0,0.0,0.0,0.0,0.0,77,1,0.012987012987012988
AFG,1998,0.0,0.0,0.0,0.0,0.0,0.0,54,1,0.018518518518518517
AFG,1999,0.0,0.0,0.0,0.0,0.0,0.0,35,0,0.0
AFG,2000,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0.0
AFG,2001,0.0,0.0,0.0,0.0,0.0,0.0,50,1,0.02
AFG,2002,0.0,0.0,0.0,0.0,0.0,0.0,41,1,0.024390243902439025
AFG,2003,0.0,0.0,0.0,0.0,0.0,0.0,59,0,0.0
AFG,2004,0.0,0.0,0.0,0.0,0.0,0.0,46,0,0.0
AFG,2005,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0.0
AFG,2006,0.0,0.0,0.0,0.0,0.0,0.0,56,0,0.0
AFG,2007,0.0,0.0,0.0,0.0,0.0,0.0,56,3,0.05357142857142857
AFG,2008,0.0,0.0,0.0,1.0,0.0,0.0,48,2,0.041666666666666664
AFG,2009,0.0,0.0,0.0,0.0,0.0,0.0,53,1,0.018867924528301886
AFG,2010,0.0,0.0,0.0,0.0,0.0,0.0,60,4,0.06666666666666667
AFG,2011,0.0,0.0,0.0,0.0,0.0,0.0,95,3,0.031578947368421054
AFG,2012,0.0,0.0,0.0,0.0,0.0,0.0,42,1,0.023809523809523808
AFG,2013,0.0,0.0,0.0,0.0,0.0,0.0,74,1,0.013513513513513514
AFG,2014,0.0,0.0,0.0,0.0,0.0,0.0,38,3,0.07894736842105263
AFG,2015,0.0,0.0,0.0,0.0,0.0,0.0,49,1,0.02040816326530612
AFG,2016,0.0,0.0,0.0,0.0,0.0,0.0,65,1,0.015384615384615385
AFG,2017,0.0,0.0,0.0,0.0,0.0,0.0,67,1,0.014925373134328358
AFG,2018,0.0,0.0,0.0,0.0,0.0,0.0,43,2,0.046511627906976744
AFG,2019,0.0,0.0,0.0,0.0,0.0,0.0,75,9,0.12
AFG,2020,0.0,0.0,0.0,0.0,0.0,0.0,39,8,0.20512820512820512
AGO,1977,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0.0
AGO,1978,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0.0
AGO,1980,0.0,0.0,0.0,0.0,0.0,0.0,49,0,0.0
AGO,1981,0.0,0.0,0.0,0.0,0.0,0.0,41,0,0.0
AGO,1982,0.0,0.0,0.0,0.0,0.0,0.0,57,0,0.0
AGO,1983,0.0,0.0,0.0,0.0,0.0,0.0,59,1,0.01694915254237288
AGO,1984,0.0,0.0,0.0,0.0,0.0,0.0,46,0,0.0
AGO,1985,0.0,0.0,0.0,0.0,0.0,0.0,38,2,0.05263157894736842
AGO,1986,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0.0
AGO,1987,0.0,0.0,0.0,0.0,0.0,0.0,64,0,0.0
AGO,1988,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0.0
AGO,1989,0.0,0.0,0.0,0.0,0.0,0.0,59,4,0.06779661016949153
AGO,1990,0.0,0.0,0.0,0.0,0.0,0.0,34,3,0.08823529411764706
AGO,1991,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0.0
AGO,1992,0.0,0.0,0.0,0.0,0.0,0.0,73,6,0.0821917808219178
AGO,1993,0.0,0.0,0.0,0.0,0.0,0.0,69,1,0.014492753623188406
AGO,1994,0.0,0.0,0.0,0.0,0.0,0.0,48,1,0.020833333333333332
AGO,1995,0.0,0.0,0.0,0.0,0.0,0.0,56,1,0.017857142857142856
AGO,1996,0.0,0.0,0.0,0.0,0.0,0.0,79,6,0.0759493670886076
AGO,1997,0.0,0.0,0.0,0.0,0.0,0.0,40,1,0.025
AGO,1998,0.0,0.0,0.0,0.0,0.0,0.0,70,0,0.0
AGO,1999,0.0,0.0,0.0,0.0,0.0,0.0,66,2,0.030303030303030304
AGO,2000,0.0,0.0,0.0,0.0,0.0,0.0,65,1,0.015384615384615385
AGO,2001,0.0,0.0,0.0,0.0,0.0,0.0,38,1,0.02631578947368421
AGO,2002,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0.0
AGO,2003,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0.0
AGO,2004,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0
AGO,2005,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0.0
AGO,2006,0.0,0.0,0.0,0.0,0.0,0.0,68,0,0.0
AGO,2007,0.0,0.0,0.0,0.0,0.0,0.0,47,8,0.1702127659574468
AGO,2008,0.0,0.0,0.0,0.0,0.0,0.0,62,7,0.11290322580645161
AGO,2009,0.0,0.0,0.0,0.0,0.0,0.0,73,3,0.0410958904109589
AGO,2010,0.0,0.0,0.0,0.0,0.0,0.0,55,6,0.10909090909090909
AGO,2011,0.0,0.0,0.0,0.0,0.0,0.0,61,3,0.04918032786885246
AGO,2012,0.0,0.0,0.0,0.0,0.0,0.0,31,3,0.0967741935483871
AGO,2013,0.0,0.0,0.0,0.0,0.0,0.0,27,4,0.14814814814814814
AGO,2014,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0.0
AGO,2015,0.0,0.0,0.0,0.0,0.0,0.0,31,5,0.16129032258064516
AGO,2016,0.0,0.0,0.0,0.0,0.0,0.0,30,6,0.2
AGO,2017,0.0,0.0,0.0,0.0,0.0,0.0,39,5,0.1282051282051282
AGO,2018,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0.07692307692307693
AGO,2019,0.0,0.0,0.0,0.0,0.0,0.0,18,6,0.3333333333333333
AGO,2020,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0
AGO,2021,0.0,0.0,0.0,0.0,0.0,0.0,25,2,0.08
AGO,2022,0.0,0.0,1.0,0.0,0.0,0.0,20,3,0.15
AGO,2023,0.0,0.0,0.0,0.0,0.0,0.0,48,7,0.14583333333333334
AGO,2024,0.0,0.0,1.0,0.0,0.0,0.0,66,10,0.15151515151515152
AGO,2025,0.0,0.0,0.0,0.0,0.0,1.0,54,8,0.14814814814814814
ALB,1956,0.0,0.0,0.0,0.0,0.0,0.0,72,1,0.013888888888888888
ALB,1957,0.0,0.0,0.0,0.0,0.0,0.0,91,1,0.01098901098901099
ALB,1958,0.0,0.0,0.0,0.0,0.0,0.0,82,2,0.024390243902439025
ALB,1959,0.0,0.0,0.0,0.0,0.0,0.0,116,4,0.034482758620689655
ALB,1960,0.0,0.0,0.0,0.0,0.0,0.0,90,1,0.011111111111111112
ALB,1961,0.0,0.0,0.0,0.0,0.0,0.0,108,3,0.027777777777777776
ALB,1962,0.0,0.0,0.0,0.0,0.0,0.0,141,1,0.0070921985815602835
ALB,1963,0.0,0.0,0.0,0.0,0.0,0.0,214,5,0.02336448598130841
ALB,1964,0.0,0.0,0.0,0.0,0.0,0.0,100,1,0.01
ALB,1965,0.0,0.0,0.0,0.0,0.0,0.0,190,0,0.0
ALB,1966,0.0,0.0,0.0,0.0,0.0,0.0,138,0,0.0
ALB,1967,0.0,0.0,0.0,0.0,0.0,0.0,132,2,0.015151515151515152
